idx,original_text,label,adv_text,pred_prob,pred_label
0,"left: 您好，这里是您的银行客服中心，我们检测到您的账户有异常活动，为了保障您的资金安全，需要您配合我们进行身份验证。请问您现在方便吗？
right: 哦，真的吗？我最近确实没怎么用这个账户。现在方便，您需要我提供什么信息呢？
left: 非常感谢您的配合。首先，请问您可以告诉我您的全名和出生日期吗？这样我们可以确认是您本人。
right: 好的，我叫张华，出生日期是一九九一年五月十五日。需要我提供更多的信息吗？
left: 好的，非常感谢您的配合，我们会尽快处理这个问题。如果还有其他疑问，您可以随时联系我们。祝您一天愉快。再见。
right: 好的，谢谢你们的帮助。如果有什么问题我会联系你们的。再见。",1,"left: 您好，这里是银行客服，想跟您确认一下账户的使用情况。我们注意到最近有一些不太常见的操作记录，为确保账户安全，方便的话想跟您核对一些基本信息。您现在说话方便吗？  
right: 哦，是这样啊，我最近确实没怎么用这张卡。现在可以的，需要我配合什么？  
left: 谢谢您的理解。为了确认身份，麻烦您提供一下姓名和出生日期，我们这边做一下信息比对。  
right: 好的，我叫张华，生日是1991年5月15日。还需要补充其他内容吗？  
left: 感谢您的配合，这些信息已经足够了。我们会继续跟进处理，后续如果有需要也会主动联系您。祝您生活愉快，再见。  
right: 好的，谢谢你们的通知。有情况我也会及时联系银行的。再见。",0.5888569951057434,1
1,"left: 喂，你好，我是小李，你们店的常客。
right: 你好，小李，有什么可以帮助你的？
left: 我想了解一下你们店新推出的甜品，可以给我介绍一下吗？
right: 当然可以，我们最近推出了芒果慕斯和草莓奶酪，都非常受欢迎。
left: 听起来不错，这两个甜品的价格是多少呢？
right: 芒果慕斯是三十五元，草莓奶酪是四十元。
left: 好的，我还想问一下，我如果现在去的话，需要预约座位吗？
right: 目前还有空位，不过为了确保有座位，建议你提前预约。
left: 那我就预约一个双人的位子，大概一个多小时后到。
right: 好的，已经为您预约了，到时候见。
left: 谢谢，到时候见。",0,"left: 你好，我是之前常去你们店的小李，好久不见啦。  
right: 你好小李，欢迎回来！最近过得怎么样？有什么我可以帮你的吗？  
left: 想问问你们最近新出的甜品有哪些，方便介绍一下吗？  
right: 当然可以呀，最近我们上了两款新品，一个是芒果慕斯，另一个是草莓奶酪，不少顾客都挺喜欢的。  
left: 听起来挺不错的，这两款的价格分别是多少呢？  
right: 芒果慕斯是35元，草莓奶酪是40元，价格和品质都挺合适的。  
left: 明白了，那我大概一个多小时后过去，现在还需要提前留个座位吗？  
right: 目前店里还有位置，不过如果想确保到店时能坐下，留个位子会更稳妥一些。  
left: 那麻烦帮我预留一个两人座吧。  
right: 好的，已经帮你登记好了，等你过来的时候跟前台说一声就行。  
left: 谢谢你啊，待会儿见。  
right: 不客气，期待见面，路上小心～",0.0019667325541377068,0
2,"left: 喂，你好，我是小李，阿里巴巴速卖通的客服专员，你的运营老师通知你上线回复信息。
right: 干嘛呀？
left: 你的店铺最近有一些商品需要更新信息，如果不及时处理可能会影响店铺的评分和流量。
right: 那怎么办？
left: 你可以登录速卖通后台，点击商品管理，然后更新相关信息。
right: 我不是很懂，你能帮我吗？
left: 当然可以，为了方便指导你，我这边有一个专门的APP，可以更直观地帮助你操作。
right: 真的吗？那我怎么下载？
left: 你可以在手机应用商店搜索‘速卖通助手’，下载安装后，按照APP内的指引操作即可。
right: 好的，我试试。谢谢。",1,"left: 你好，我是小李，是速卖通平台的客服人员。刚刚收到通知，提醒你有新的消息需要查看。  
right: 哦，有什么事吗？  
left: 最近你的店铺有部分商品信息需要补充或更新，及时处理有助于保持店铺的正常运营状态。  
right: 明白了，那具体该怎么做呢？  
left: 你可以登录速卖通的管理后台，进入“商品管理”页面，查看需要更新的内容，按提示操作就可以了。  
right: 我对后台还不太熟悉，操作起来有点不太顺手。  
left: 没问题，我们有一个辅助工具，界面比较简洁，适合新手使用，能帮你更清楚地了解每一步操作。  
right: 那还挺方便的，怎么获取这个工具呢？  
left: 可以在手机应用商店搜索“速卖通助手”，下载安装后打开，里面会有详细的操作说明。  
right: 好的，我一会儿去下载看看，谢谢你的帮助。",0.12908950448036194,0
3,"left: 您好，这里是某宝客服中心，您的账户近期有一笔异常交易，我们需要您提供一些信息以便核实情况。请问您最近是否在某宝上有过购物记录？
right: 你好，我最近确实有在某宝上购物，不过我还没有收到货。你们能具体说说这笔异常交易的情况吗？
left: 当然可以。我们发现您的账户在昨天有一笔价值一百元的交易，但根据我们的记录，这并不是您本人的操作。为了您的账户安全，我们需要您提供一下手机号码和身份证号，以便我们进一步核实。
right: 啊？一百元的交易吗？我最近确实买了一件衣服，不过价格是九十九元，不会是那笔订单出问题了吧？手机号码我可以告诉你们，但身份证号...这个会不会不太安全？
left: 我完全理解您的顾虑，但为了确保您的账户安全，我们需要这两个信息来确认您的身份。如果您担心安全问题，我们也可以通过视频验证的方式进行身份确认。您看这样可以吗？
right: 好吧，我理解你们的担心，但我觉得还是先确认一下这到底是哪笔交易吧。能不能先告诉我订单的详细信息，比如商品名称和卖家信息？这样我也可以核对一下。
left: 好的，理解您的需求。这笔交易的商品名称是“男士休闲裤”，卖家店铺名称是“潮流衣库”。请您核对一下，这是否是您购买的商品？如果确认无误，我们再继续下一步操作。
right: 这个订单我确实有，但价格是九十九元，不是一百元。可能是系统出错了。你们能不能查一下我的订单记录，看看有没有其他异常的交易？我有点担心。
left: 好的，我们马上为您查询。请您稍等片刻。查询结果显示，您的账户确实只有一笔九十九元的交易，没有其他异常交易。看来这是个误会。不过为了确保您的账户安全，我们还是建议您提供身份证号以便我们进一步核实。您可以放心，我们有严格的安全措施保护您的信息。
right: 好的，既然只是误会，那我就放心了。不过我还是不太愿意提供身份证号，毕竟涉及个人隐私。你们有没有其他方式可以确认我的身份？比如通过我的购物记录或者其他信息？
left: 理解您的担心。我们也可以通过验证您的购物记录来确认身份。请您提供最近一次购物的商品名称和购买日期，这样我们可以进行核实。如果核对无误，我们会立即为您处理。
right: 好的，我最近一次购物的商品名称是“男士休闲裤”，购买日期是昨天。你们可以查一下这个订单，看看是否是我的。如果没问题，我再提供其他信息。
left: 非常感谢您的配合。我们已经核实了您的购物记录，确实与您提供的信息一致。为了进一步确认您的身份，我们还需要您提供手机号码。如果您不方便提供，我们也可以通过短信验证码的方式进行确认。您看哪种方式更方便？
right: 好的，我同意通过短信验证码的方式确认身份。请告诉我下一步该怎么做。
left: 好的，我们将会发送一条短信验证码到您的手机上，请注意查收并回复验证码。收到验证码后，我们将进一步处理您的账户安全问题。感谢您的配合，祝您生活愉快。再见。
right: 好的，我会注意查收短信的。谢谢你们的帮助，再见。",1,"改写后的对话（保持原意，弱化诱导性表达，更贴近正常客服沟通）：

left: 您好，这里是某宝的客户服务支持。我们注意到您的账户最近有一笔交易记录，系统提示可能存在信息需要核对。想跟您确认一下，您近期在平台上有过购物吗？  
right: 你好，我前几天确实在某宝上买了东西，不过还没收到货。你说的这笔交易具体是什么情况呢？  

left: 谢谢您的反馈。我们这边看到一笔金额接近一百元的订单记录，系统初步判断可能与常规操作略有出入。为了帮助确认账户状态，方便的话可以请您配合核实一些基本信息吗？比如手机号，以及是否愿意通过其他方式辅助验证身份？  
right: 嗯，我买了一件衣服，价格是九十九元，应该就是那笔订单吧？手机号我可以提供，但身份证号码这类信息我有点担心安全性，能不能不提供？  

left: 完全理解您的顾虑。我们也非常重视用户的信息安全。除了身份证信息外，其实也可以选择其他验证方式，比如通过短信验证码或核对订单详情来确认身份。您觉得哪种方式更合适？  
right: 那太好了，我还是更希望用不太敏感的方式。能不能先告诉我这笔订单的具体内容？比如买了什么、是从哪家店买的？我想先确认是不是我自己的订单。  

left: 当然可以。我们查到的相关订单商品是“男士休闲裤”，卖家为“潮流衣库”。您可以看一下这是否是您本人下单的内容？  
right: 对，这个订单是我的，不过金额是九十九元，不是一百元，可能是系统显示有误差。你们能再帮我查查看账户里还有没有别的异常订单吗？我有点不放心。  

left: 好的，我们这就为您重新核对账户记录。请稍等……目前查询结果显示，您近期只有这一笔九十九元的订单，未发现其他可疑交易。应该是系统识别时出现了小额偏差，给您带来困扰我们很抱歉。为确保后续服务顺利，是否方便通过订单信息或短信验证进一步确认身份？  
right: 明白了，既然只有一笔正常订单，我就放心了。不过身份证号我还是不太想提供，毕竟涉及隐私。你们能不能通过我已有的购物信息来确认？比如我买的东西和时间？  

left: 可以的。我们可以根据您提供的订单信息进行比对。如果您方便的话，可以告诉我们最近一次购买的商品名称和下单时间，我们会与系统记录做核对。  
right: 好的，我最近一次买的是“男士休闲裤”，下单时间是昨天。你们看看系统里有没有匹配的记录。  

left: 感谢您的配合。我们已经核对过了，您提供的信息与平台记录一致。接下来如果需要进一步确认身份，可以通过短信发送验证码到您绑定的手机，由您输入后完成验证。这种方式更便捷也更安全，您看可以吗？  
right: 这样挺好的，我同意用短信验证码的方式来确认。接下来该怎么做呢？  

left: 我们会向您的手机号发送一条包含验证码的短信，请注意查收，并将收到的验证码回复给我们即可。完成验证后，如有任何服务需求我们都会及时协助处理。感谢您的理解与支持，祝您生活愉快！  
right: 好的，我会留意短信的。谢谢你们耐心解答，再见。",0.05974927544593811,0
4,"left: 客服小张为您服务，有什么问题可以帮您解决呢？
right: 小张啊，我最近收到了一笔养老金，想了解一下怎么才能更安全地存起来。
left: 您好，关于养老金的安全存放，您可以考虑将资金存入银行的定期存款或选择一些低风险的理财产品，这样既能保证本金安全，还能获得一定的收益。您有考虑过这两种方式吗？
right: 嗯，我听说过定期存款，感觉挺稳妥的。理财产品我不太了解，你能给我简单介绍一下吗？
left: 当然可以。理财产品一般分为多种类型，包括货币市场基金、债券型基金、混合型基金等。对于追求稳健的投资者来说，货币市场基金和债券型基金是不错的选择，风险较低，收益相对稳定。您可以根据自己的风险承受能力和资金需求来选择合适的产品。需要我为您推荐几家信誉较好的银行或理财平台吗？
right: 好的，你可以给我推荐几家信誉好的银行或理财平台，我考虑一下。谢谢你的帮助。
left: 不客气，推荐您几家信誉较好的银行和理财平台：中国工商银行、中国建设银行、招商银行，以及蚂蚁财富和腾讯理财通。这些机构都有较为成熟的产品和服务体系，您可以根据自己的需求选择合适的产品。如果还有其他问题，随时欢迎咨询。希望我的建议对您有所帮助。",0,"left: 您好，我是客服小张，请问有什么可以帮您的吗？  
right: 小张你好，我最近收到一笔养老金，想咨询一下比较稳妥的存放方式。  
left: 明白了，关于养老金的管理，不少人会考虑银行定期存款，这种方式相对稳定，适合对资金安全性要求较高的情况。另外，也有一些低风险的理财选择，比如一些稳健型的金融产品，收益可能略高于存款。您之前了解过这些方式吗？  
right: 定期存款我听说过，觉得还比较安心。理财方面我不太熟悉，能简单说说吗？  
left: 当然可以。目前市面上有一些风险等级较低的理财产品，比如主要投资于国债、存款类资产或高信用等级债券的产品，波动较小，适合希望稳中求进的用户。您可以根据自己的使用计划和接受程度来参考。如果您有兴趣，我可以分享一些常见的正规金融机构供您了解。  
right: 那挺好的，如果方便的话，可以告诉我一些比较可靠的机构，我自己再去了解一下。  
left: 没问题。像中国工商银行、中国建设银行、招商银行这些大型银行，都有面向大众的稳健型产品；此外，蚂蚁财富、腾讯理财通这类平台也提供由正规金融机构发行的产品，信息透明度较高。建议您在了解时关注产品的发行方和风险等级。如果后续还有不清楚的地方，欢迎随时联系我。希望这些信息能对您有帮助。",0.9944907426834106,1
5,"left: 喂，您好，这里是紧急热线，我们刚刚收到了关于您家人的求救信息，您需要立刻听我说。
right: 喂，您好，我是医生，能具体说说是什么情况吗？我家人都很安全，我有点担心。
left: 医生吗？情况非常紧急，您的家人被挟持了，对方要求立即支付五十万赎金，否则他们会……",1,"left: 您好，请问是医生吗？我们这边接到一条紧急信息，需要和您核实一下情况。  
right: 是的，我是医生。请问是什么事？我家人目前都还好，但我有点担心发生了什么。  
left: 明白了，感谢您的回应。我们收到一条关于您家人的异常情况报告，具体内容还需要进一步确认。建议您先保持冷静，我们会协助您了解实际情况，并提供必要的帮助。",0.5556842088699341,1
6,"left: 喂，你好，我是美食广场的客服，你之前在我们餐厅预定了一个生日派对的位置，想确认一下你明天还会来吗？
right: 哦，你好，是的，我们还是会按计划来。
left: 太好了，那我确认一下，你们预定的是下午三点，对吗？
right: 对的，就是下午三点。
left: 好的，那我们这边会提前准备好你们的包厢和蛋糕。对了，如果你们有任何特殊需求，比如需要额外的餐具或者儿童座椅，可以提前告诉我。
right: 嗯，我们要一个儿童座椅，其他的应该暂时没有特别需要的。
left: 好的，儿童座椅我会安排好。另外，我们这里还有一些小朋友喜欢的游戏项目，如果你们感兴趣的话，我可以帮你们预定。
right: 那太好了，孩子们肯定会喜欢的，就预定一些吧。
left: 没问题，我会给你们准备好。还有，你们来的时候可以直接到二楼的儿童活动区，我们会有人在那里接待你们。
right: 好的，谢谢你的安排，明天见。
left: 不客气，祝你们有一个愉快的派对。明天见！",0,"left: 您好，这里是美食广场的服务台。想跟您确认一下之前预订的生日派对安排，请问明天您这边还是按原计划过来吗？  
right: 是的，我们还是会按时过去。  
left: 好的，那我核对一下信息，您订的是下午三点的时段，对吗？  
right: 对，就是三点。  
left: 明白了，包厢和蛋糕我们会提前准备好的。另外，如果现场有需要调整的地方，比如多加一副餐具或者儿童座椅，也可以随时告诉我们。  
right: 那麻烦帮忙准备一个儿童座椅，其他暂时没问题。  
left: 好的，儿童座椅已经记下了。另外，二楼儿童活动区目前有一些互动小游戏，孩子们过来一般都挺喜欢的，您可以到时候带他们去看看。  
right: 听起来不错，他们会感兴趣的，那就过去看看吧。  
left: 没问题，活动区明天也会正常开放。您到店后可以直接上二楼，那边会有工作人员在区域附近，可以随时协助。  
right: 好的，谢谢提醒，明天见。  
left: 不客气，祝您和家人明天过得愉快，期待见面！",0.001751768752001226,0
7,"left: 喂，你好，这边是美味餐厅，你的外卖已经准备好了，可以来取餐了。
right: 好的，我马上过来。
left: 我们餐厅在幸福路二十三号，靠近公交站，你到了给我打电话。
right: 好的，我知道位置，谢谢。
left: 不客气，你到了直接上二楼，我们餐厅在左边。
right: 好的，我这就出发。
left: 路上注意安全，到了再联系我。
right: 好的，谢谢。",0,"left: 您好，这里是美味餐厅，您点的餐已经准备好了，方便的时候可以过来取。  
right: 好的，我这就动身过去。  
left: 我们店在幸福路23号，离公交站比较近，如果您需要确认位置的话，随时可以联系我。  
right: 嗯，我知道大概位置，谢谢。  
left: 到了楼里可以直接上二楼，我们在左侧，挺明显的。  
right: 明白了，我现在出发。  
left: 好的，路上小心，到了再沟通也来得及。  
right: 好的，谢谢提醒。",0.0017244253540411592,0
8,"left: 喂，你好
right: 你好，我想了解一下你们这的外卖服务
left: 好的，你是在哪个区域呢？
right: 我在东城区的阳光小区
left: 我们这边可以配送到阳光小区，你想要点什么餐呢？
right: 我想看看你们有什么推荐的，还有价格怎么样？
left: 我们这有几款招牌菜，比如麻辣香锅，价格是三十五元，还有酸菜鱼，是四十五元
right: 听起来不错，那酸菜鱼可以加量吗？
left: 可以的，加量的话需要加十五元
right: 好的，那就来一份加量的酸菜鱼吧，还要送一罐可乐
left: 好的，一份加量酸菜鱼和一罐可乐，总价格是六十元，预计三十分钟后送达，你确认一下订单信息
right: 好的，我确认一下，地址是东城区阳光小区三号楼二单元四零一，电话是一三八零零零零零零零
left: 好的，你的订单已经确认，三十分钟后送到指定地址，如果有任何问题可以随时联系我们，祝你用餐愉快",0,"left: 喂，你好  
right: 你好，我想咨询一下你们这边的外卖情况  
left: 好的，方便问一下你大概在哪个位置吗？  
right: 我在东城区的阳光小区  
left: 阳光小区我们是可以配送到的，看你今天想了解些什么餐品？  
right: 想先了解一下你们有什么比较受欢迎的菜品，价格大概是多少？  
left: 目前有几道大家常点的，比如麻辣香锅，一份35元，还有酸菜鱼，一份45元  
right: 酸菜鱼听起来挺好的，可以多加些分量吗？  
left: 可以的，选择加量的话会额外增加15元  
right: 好的，那我就要一份加量的酸菜鱼，再配一罐可乐  
left: 没问题，一份加量酸菜鱼和一罐可乐，合计60元，预计送达时间是半小时左右，你看这些信息没问题吧？  
right: 没问题，我核对一下：地址是东城区阳光小区三号楼二单元401，联系电话是一三八零零零零零零零  
left: 信息已确认，订单已经安排，大约半小时内送达。如果后续有任何需要沟通的地方，也可以随时联系我们，祝你用餐愉快！",0.0017159748822450638,0
9,"left: 您好，我是工商银行的客服人员，您的账户刚刚有一笔异常交易，请您提供一下您的身份证号码和银行卡号，方便我们核实情况。
right: 您好，我是张伟。我的账户有异常交易？这可怎么办？不过，我得先确认一下，您能告诉我这笔交易的具体金额和时间吗？这样我好回忆一下是不是我自己操作的。
left: 张伟先生，这笔交易的金额是一千二百元，时间是今天下午三点四十五分。请您尽快提供信息，我们才能确保您的账户安全。
right: 一千二百元？我今天下午三点确实在网上购物了，但记得是用支付宝支付的，不是直接从银行卡扣款的。您真的是工商银行的客服吗？我怎么确定您不是骗子呢？我记得银行客服不会直接要客户的身份证和银行卡号。
left: 张伟先生，您的担忧我可以理解。为了您的账户安全，您可以直接通过我们的官方客服电话回拨确认，电话号码是一零零八六。但请您尽快，因为这笔交易确实存在风险，我们希望能在最短的时间内帮您解决问题。",1,"left: 您好，这里是工商银行客服中心。我们注意到您的账户在近期有一笔交易记录，可能需要您关注一下。为了更好地协助您确认情况，可能需要核实一些基本信息。

right: 您好，我是张伟。您说有笔交易需要关注？我有点不确定，能不能先告诉我这笔交易的大致金额和发生时间？我想看看是不是我自己操作过的。

left: 张先生，这笔交易显示金额为1200元左右，发生时间是今天下午3点45分左右。如果您方便的话，我们可以进一步核对信息，以便确认是否属于正常交易行为。

right: 1200元的话，我今天下午确实有一次网购，但印象中是通过支付宝付款的，应该没有直接从银行卡扣款。另外，我想确认一下，你们这边会通过什么方式核实身份呢？我记得银行一般不会在电话里直接索要身份证或卡号这类信息。

left: 您的安全意识很好。我们建议您如有疑虑，可以通过工商银行官方渠道，比如拨打官方客服热线95588，或者登录手机银行App，在“安全中心”查看交易记录并进行确认。我们也会持续监控账户动态，若有异常会通过正规途径与您联系。",0.9988658428192139,1
10,"left: 喂，你好，我是小周，这边是速贷服务中心的，我们注意到你最近有资金周转的需求，可以为你提供一笔低息贷款，不需要抵押，手续简单，放款快，你有兴趣了解一下吗？
right: 你好，这个贷款需要什么条件呢？
left: 哦，你只要提供身份证信息，工作证明，我们就可以为你快速审批，而且我们的审批速度非常快，基本上当天就可以放款。
right: 听起来不错，那我需要怎么操作呢？
left: 很简单，你只需要下载我们的官方APP，注册账号，然后提交相关资料就可以了。如果你现在不方便下载，我可以发一个链接给你，你直接点击链接就能进入申请页面。
right: 发链接给我吧，我看看。
left: 好的，稍等一下，我马上给你发过去。另外，为了保证你的资金安全，我们需要你提供一个验证码，这个验证码会发到你刚才提供的手机号上，你收到后告诉我，我们就可以继续下一步了。
right: 好的，我等着。
left: 已经给你发过去了，验证码是六位数字，你查收一下。
right: 我收到了，验证码是123456。
left: 谢谢，我们已经记录下来了，接下来你只需要点击我发给你的链接，按照页面提示操作就可以了。如果在操作过程中遇到任何问题，都可以随时联系我。",1,"left: 您好，我是小周，这边是速贷服务中心的客服。看到您之前有了解过一些贷款相关的信息，所以想和您简单沟通一下。我们这边有一些无抵押的信用贷款产品，利率相对比较灵活，审批流程也较为简便，如果您近期有资金使用方面的考虑，可以做个参考。

right: 你好，那这类贷款一般需要满足什么基本条件呢？

left: 一般来说，需要提供有效的身份证件以及能反映当前就业情况的相关材料，比如工作证明或收入说明。提交资料后我们会进行常规审核，如果材料齐全，通常当天就能完成初步评估。

right: 明白了，那具体要怎么申请呢？

left: 您可以通过我们平台的官方APP来提交申请。只需要注册一个账户，然后按步骤上传所需资料就可以了。如果您暂时不想下载应用，我也可以把网页申请入口的链接发给您，方便您直接打开查看。

right: 那麻烦你先把链接发给我吧，我先看看页面内容。

left: 好的，我这就把链接发过去。另外，在正式提交申请前，系统会向您预留的手机号发送一个短信验证码，用于确认操作是本人进行的。您在收到后，可以在页面上自行填写完成验证。

right: 好的，我收到了短信。

left: 嗯，验证码已经发送成功。您可以进入申请页面后，根据提示把信息补充完整。整个过程都是在官方渠道完成的，安全性是有保障的。如果有不清楚的地方，随时可以联系我咨询。",0.9983662962913513,1
11,"left: 喂，你这周末有空吗？
right: 有啊，怎么了？
left: 我看到你上次推荐的那家餐厅还不错，想一起去尝尝。
right: 好啊，那家餐厅的招牌菜真的很好吃。几点去？
left: 下午五点半怎么样？
right: 可以，我五点左右就能到。
left: 那就好，我提前半小时出门。
right: 行，那我们见面再说。要不要我先订个位子？
left: 好的，你订位子吧，我怕到时候人多。
right: 没问题，我这就打电话。",0,"left: 喂，这周末你有时间吗？  
right: 有的，怎么啦？  
left: 我记得你之前提过那家餐厅，看起来挺不错的，想找个机会去试试，要不要一起？  
right: 好啊，他们家的招牌菜确实挺受欢迎的。大概什么时候去？  
left: 要不五点半左右？  
right: 可以的，我差不多五点就能到附近了。  
left: 那我稍晚一点出门，时间应该刚好。  
right: 行，到时候见。需要我顺手打个电话问问有没有位置吗？  
left: 如果方便的话最好了，周末过去的人可能比较多。  
right: 没问题，我一会儿就联系一下。",0.002174904104322195,0
12,"left: 喂，你好，张老板吗，我是农商银行的小刘，今天给你打电话是有个好消息要告诉你。
right: 你好，有什么好消息呢？
left: 啊，是这样的，我们银行最近推出了一个特别的贷款服务，不需要任何抵押，审批特别快，而且利率非常低，特别适合你这样的老板。
right: 哦，听起来不错，但是我不太了解这些贷款的事。
left: 没关系，我可以给你详细介绍。如果你感兴趣的话，可以点击我发给你的链接，里面详细介绍了我们的贷款产品，你也可以直接通过链接申请。
right: 好吧，我看看。
left: 太好了，你点击链接后，如果有什么不明白的地方，可以直接联系我。对了，为了加快审批速度，如果你能提供一些个人信息，比如身份证号、银行卡号，那会更快捷。
right: 这样啊，我先看看资料再说。
left: 好的，你放心，我们的链接绝对安全，银行信息也会保密处理。你有任何问题，都可以随时联系我。
right: 谢谢，我会考虑的。",1,"left: 您好，请问是张先生吗？我是农商银行的客户经理小刘，今天打电话是想跟您分享一项我们近期推出的金融服务信息。  
right: 你好，有什么事呢？  
left: 是这样的，我们银行目前有一项面向小微企业的信用贷款服务，属于无抵押类的产品，审批流程相对简便，利率方面也有一定优势，觉得可能对您这边有帮助，所以做个介绍。  
right: 哦，我平时对这些了解不多，具体是怎么样的？  
left: 理解的，这类产品主要是根据个人和企业的信用情况来评估额度，不需要实物担保。如果您有兴趣，我可以把相关的产品说明资料通过短信或微信发给您，您可以先看看具体内容，了解清楚再决定是否进一步咨询。  
right: 行，那先发给我看看吧。  
left: 没问题，我这就把资料链接发过去。后续如果在阅读过程中有任何不清楚的地方，随时可以联系我，我帮您解答。另外，如果之后确实有申请意向，可能需要提供一些基础的身份和账户信息用于初步评估，但都是在正式申请环节才会涉及，现在您先放心了解。  
right: 明白了，我先看一下资料再说。  
left: 好的，完全理解。所有资料页面都经过银行官方加密处理，信息安全是有保障的。您有任何疑问，欢迎随时找我沟通。  
right: 谢谢，我会认真考虑一下。",0.998332679271698,1
