idx,original_text,label,adv_text,pred_prob,pred_label
0,"left: 您好，这里是您的银行客服中心，我们检测到您的账户有异常活动，为了保障您的资金安全，需要您配合我们进行身份验证。请问您现在方便吗？
right: 哦，真的吗？我最近确实没怎么用这个账户。现在方便，您需要我提供什么信息呢？
left: 非常感谢您的配合。首先，请问您可以告诉我您的全名和出生日期吗？这样我们可以确认是您本人。
right: 好的，我叫张华，出生日期是一九九一年五月十五日。需要我提供更多的信息吗？
left: 好的，非常感谢您的配合，我们会尽快处理这个问题。如果还有其他疑问，您可以随时联系我们。祝您一天愉快。再见。
right: 好的，谢谢你们的帮助。如果有什么问题我会联系你们的。再见。",1,"left: 您好，这里是您的银行服务专员，我们检测到您的账户有异常活动，为了保障您的资金安全，需要您配合我们进行身份核验。请问您现在方便吗？
right: 哦，真的吗？我最近确实没怎么用这个账户。现在方便，您需要我提供什么信息呢？
left: 非常感谢您的配合。首先，请问您可以告诉我您的全名和出生日期吗？这样我们可以确认是您本人。
right: 好的，我叫张华，出生日期是一九九一年五月十五日。需要我提供更多的信息吗？
left: 好的，非常感谢您的配合，我们会尽快处理这个问题。如果还有其他疑问，您可以随时联系我们的工作人员。祝您一天愉快。再见。
right: 好的，谢谢你们的帮助。如果有什么问题我会联系你们的。再见。",0.9985395669937134,1
1,"left: 喂，你好，我是小李，你们店的常客。
right: 你好，小李，有什么可以帮助你的？
left: 我想了解一下你们店新推出的甜品，可以给我介绍一下吗？
right: 当然可以，我们最近推出了芒果慕斯和草莓奶酪，都非常受欢迎。
left: 听起来不错，这两个甜品的价格是多少呢？
right: 芒果慕斯是三十五元，草莓奶酪是四十元。
left: 好的，我还想问一下，我如果现在去的话，需要预约座位吗？
right: 目前还有空位，不过为了确保有座位，建议你提前预约。
left: 那我就预约一个双人的位子，大概一个多小时后到。
right: 好的，已经为您预约了，到时候见。
left: 谢谢，到时候见。",0,"left: 喂，你好，我是小李，你们店的常客。  
right: 你好，小李，有什么可以帮助你的？  
left: 我想了解一下你们店新推出的甜品，可以给我介绍一下吗？  
right: 当然可以，我们最近推出了芒果慕斯和草莓奶酪，都非常受欢迎。  
left: 听起来不错，这两个甜品的价格是多少呢？  
right: 芒果慕斯是三十五元，草莓奶酪是四十元。  
left: 好的，我还想问一下，我如果现在去的话，需要提前订位吗？  
right: 目前还有空位，不过为了确保有座位，建议你提前预约。  
left: 那我就预约一个双人的位子，大概一个多小时后到。  
right: 好的，已经为您安排了，到时候见。  
left: 谢谢，到时候见。",0.0018423506990075111,0
2,"left: 喂，你好，我是小李，阿里巴巴速卖通的客服专员，你的运营老师通知你上线回复信息。
right: 干嘛呀？
left: 你的店铺最近有一些商品需要更新信息，如果不及时处理可能会影响店铺的评分和流量。
right: 那怎么办？
left: 你可以登录速卖通后台，点击商品管理，然后更新相关信息。
right: 我不是很懂，你能帮我吗？
left: 当然可以，为了方便指导你，我这边有一个专门的APP，可以更直观地帮助你操作。
right: 真的吗？那我怎么下载？
left: 你可以在手机应用商店搜索‘速卖通助手’，下载安装后，按照APP内的指引操作即可。
right: 好的，我试试。谢谢。",1,"left: 喂，你好，我是小李，阿里巴巴速卖通的客服专员，你的运营老师通知你上线回复信息。  
right: 干嘛呀？  
left: 你的店铺最近有一些商品需要更新信息，如果不及时处理可能会影响店铺的评分和流量。  
right: 那怎么办？  
left: 你可以登录速卖通后台，进入商品管理，然后更新相关信息。  
right: 我不是很懂，你能帮我吗？  
left: 当然可以，为了方便指导你，我这边有一个专门的工具，可以更直观地帮助你操作。  
right: 真的吗？那我怎么下载？  
left: 你可以在手机应用商店搜索‘速卖通助手’，下载安装后，按照APP内的指引操作即可。  
right: 好的，我试试。谢谢。",0.9557898640632629,1
3,"left: 您好，这里是某宝客服中心，您的账户近期有一笔异常交易，我们需要您提供一些信息以便核实情况。请问您最近是否在某宝上有过购物记录？
right: 你好，我最近确实有在某宝上购物，不过我还没有收到货。你们能具体说说这笔异常交易的情况吗？
left: 当然可以。我们发现您的账户在昨天有一笔价值一百元的交易，但根据我们的记录，这并不是您本人的操作。为了您的账户安全，我们需要您提供一下手机号码和身份证号，以便我们进一步核实。
right: 啊？一百元的交易吗？我最近确实买了一件衣服，不过价格是九十九元，不会是那笔订单出问题了吧？手机号码我可以告诉你们，但身份证号...这个会不会不太安全？
left: 我完全理解您的顾虑，但为了确保您的账户安全，我们需要这两个信息来确认您的身份。如果您担心安全问题，我们也可以通过视频验证的方式进行身份确认。您看这样可以吗？
right: 好吧，我理解你们的担心，但我觉得还是先确认一下这到底是哪笔交易吧。能不能先告诉我订单的详细信息，比如商品名称和卖家信息？这样我也可以核对一下。
left: 好的，理解您的需求。这笔交易的商品名称是“男士休闲裤”，卖家店铺名称是“潮流衣库”。请您核对一下，这是否是您购买的商品？如果确认无误，我们再继续下一步操作。
right: 这个订单我确实有，但价格是九十九元，不是一百元。可能是系统出错了。你们能不能查一下我的订单记录，看看有没有其他异常的交易？我有点担心。
left: 好的，我们马上为您查询。请您稍等片刻。查询结果显示，您的账户确实只有一笔九十九元的交易，没有其他异常交易。看来这是个误会。不过为了确保您的账户安全，我们还是建议您提供身份证号以便我们进一步核实。您可以放心，我们有严格的安全措施保护您的信息。
right: 好的，既然只是误会，那我就放心了。不过我还是不太愿意提供身份证号，毕竟涉及个人隐私。你们有没有其他方式可以确认我的身份？比如通过我的购物记录或者其他信息？
left: 理解您的担心。我们也可以通过验证您的购物记录来确认身份。请您提供最近一次购物的商品名称和购买日期，这样我们可以进行核实。如果核对无误，我们会立即为您处理。
right: 好的，我最近一次购物的商品名称是“男士休闲裤”，购买日期是昨天。你们可以查一下这个订单，看看是否是我的。如果没问题，我再提供其他信息。
left: 非常感谢您的配合。我们已经核实了您的购物记录，确实与您提供的信息一致。为了进一步确认您的身份，我们还需要您提供手机号码。如果您不方便提供，我们也可以通过短信验证码的方式进行确认。您看哪种方式更方便？
right: 好的，我同意通过短信验证码的方式确认身份。请告诉我下一步该怎么做。
left: 好的，我们将会发送一条短信验证码到您的手机上，请注意查收并回复验证码。收到验证码后，我们将进一步处理您的账户安全问题。感谢您的配合，祝您生活愉快。再见。
right: 好的，我会注意查收短信的。谢谢你们的帮助，再见。",1,"left: 您好，这里是某宝服务团队，您的账户近期有一笔可疑交易，我们需要您提供一些信息以便核实情况。请问您最近是否在某宝上有过购物记录？  
right: 你好，我最近确实有在某宝上购物，不过我还没有收到货。你们能具体说说这笔可疑交易的情况吗？  
left: 当然可以。我们发现您的账户在昨天有一笔价值一百元的交易，但根据我们的记录，这并不是您本人的操作。为了您的账户安全，我们需要您提供一下手机号码和身份证号，以便我们进一步核实。  
right: 啊？一百元的交易吗？我最近确实买了一件衣服，不过价格是九十九元，不会是那笔订单出问题了吧？手机号码我可以告诉你们，但身份证号...这个会不会不太安全？  
left: 我完全理解您的顾虑，但为了确保您的账户安全，我们需要这两个信息来确认您的身份。如果您担心安全问题，我们也可以通过视频核验的方式进行身份确认。您看这样可以吗？  
right: 好吧，我理解你们的担心，但我觉得还是先确认一下这到底是哪笔交易吧。能不能先告诉我订单的详细信息，比如商品名称和卖家信息？这样我也可以核对一下。  
left: 好的，理解您的需求。这笔交易的商品名称是“男士休闲裤”，卖家店铺名称是“潮流衣库”。请您核对一下，这是否是您购买的商品？如果确认无误，我们再继续下一步操作。  
right: 这个订单我确实有，但价格是九十九元，不是一百元。可能是系统出错了。你们能不能查一下我的订单记录，看看有没有其他可疑的交易？我有点担心。  
left: 好的，我们马上为您查询。请您稍等片刻。查询结果显示，您的账户确实只有一笔九十九元的交易，没有其他可疑交易。看来这是个误会。不过为了确保您的账户安全，我们还是建议您提供身份证号以便我们进一步核实。您可以放心，我们有严格的安全措施保护您的信息。  
right: 好的，既然只是误会，那我就放心了。不过我还是不太愿意提供身份证号，毕竟涉及个人隐私。你们有没有其他方式可以确认我的身份？比如通过我的购物记录或者其他信息？  
left: 理解您的担心。我们也可以通过核验您的购物记录来确认身份。请您提供最近一次购物的商品名称和购买日期，这样我们可以进行核实。如果核对无误，我们会尽快为您处理。  
right: 好的，我最近一次购物的商品名称是“男士休闲裤”，购买日期是昨天。你们可以查一下这个订单，看看是否是我的。如果没问题，我再提供其他信息。  
left: 非常感谢您的配合。我们已经核实了您的购物记录，确实与您提供的信息一致。为了进一步确认您的身份，我们还需要您提供手机号码。如果您不方便提供，我们也可以通过短信验证码的方式进行确认。您看哪种方式更方便？  
right: 好的，我同意通过短信验证码的方式确认身份。请告诉我下一步该怎么做。  
left: 好的，我们将会发送一条短信验证码到您的手机上，请注意查收并回复验证码。收到验证码后，我们将进一步处理您的账户安全问题。感谢您的配合，祝您生活愉快。再见。  
right: 好的，我会注意查收短信的。谢谢你们的帮助，再见。",0.9815506935119629,1
4,"left: 客服小张为您服务，有什么问题可以帮您解决呢？
right: 小张啊，我最近收到了一笔养老金，想了解一下怎么才能更安全地存起来。
left: 您好，关于养老金的安全存放，您可以考虑将资金存入银行的定期存款或选择一些低风险的理财产品，这样既能保证本金安全，还能获得一定的收益。您有考虑过这两种方式吗？
right: 嗯，我听说过定期存款，感觉挺稳妥的。理财产品我不太了解，你能给我简单介绍一下吗？
left: 当然可以。理财产品一般分为多种类型，包括货币市场基金、债券型基金、混合型基金等。对于追求稳健的投资者来说，货币市场基金和债券型基金是不错的选择，风险较低，收益相对稳定。您可以根据自己的风险承受能力和资金需求来选择合适的产品。需要我为您推荐几家信誉较好的银行或理财平台吗？
right: 好的，你可以给我推荐几家信誉好的银行或理财平台，我考虑一下。谢谢你的帮助。
left: 不客气，推荐您几家信誉较好的银行和理财平台：中国工商银行、中国建设银行、招商银行，以及蚂蚁财富和腾讯理财通。这些机构都有较为成熟的产品和服务体系，您可以根据自己的需求选择合适的产品。如果还有其他问题，随时欢迎咨询。希望我的建议对您有所帮助。",0,"left: 客服小张为您服务，有什么问题可以帮您解决呢？  
right: 小张啊，我最近收到了一笔养老金，想了解一下怎么才能更安全地存起来。  
left: 您好，关于养老金的安全存放，您可以考虑将资金存入银行的定期存款或选择一些低风险的理财产品，这样既能保证本金安全，还能获得一定的回报。您有考虑过这两种方式吗？  
right: 嗯，我听说过定期存款，感觉挺稳妥的。理财产品我不太了解，你能给我简单介绍一下吗？  
left: 当然可以。理财产品一般分为多种类型，包括货币市场基金、债券型基金、混合型基金等。对于追求稳健的投资者来说，货币市场基金和债券型基金是不错的选择，风险较低，收益相对稳定。您可以根据自己的风险承受能力和资金需求来选择合适的产品。需要我为您推荐几家信誉较好的银行或理财平台吗？  
right: 好的，你可以给我推荐几家信誉好的银行或理财平台，我考虑一下。谢谢你的帮助。  
left: 不客气，推荐您几家信誉较好的银行和理财平台：中国工商银行、中国建设银行、招商银行，以及蚂蚁财富和腾讯理财通。这些机构都有较为成熟的产品和服务体系，您可以根据自己的需求选择合适的产品。如果还有其他问题，随时欢迎咨询。希望我的建议对您有所帮助。",0.9973536729812622,1
5,"left: 喂，您好，这里是紧急热线，我们刚刚收到了关于您家人的求救信息，您需要立刻听我说。
right: 喂，您好，我是医生，能具体说说是什么情况吗？我家人都很安全，我有点担心。
left: 医生吗？情况非常紧急，您的家人被挟持了，对方要求立即支付五十万赎金，否则他们会……",1,"left: 喂，您好，这里是紧急热线，我们刚刚收到了关于您家人的求助信息，您需要马上听我说。  
right: 喂，您好，我是医生，能具体说说是什么情况吗？我家人都很安全，我有点担心。  
left: 医生吗？情况非常紧急，您的家人被挟持了，对方要求马上支付五十万赎金，否则他们会……",0.9980072379112244,1
6,"left: 喂，你好，我是美食广场的客服，你之前在我们餐厅预定了一个生日派对的位置，想确认一下你明天还会来吗？
right: 哦，你好，是的，我们还是会按计划来。
left: 太好了，那我确认一下，你们预定的是下午三点，对吗？
right: 对的，就是下午三点。
left: 好的，那我们这边会提前准备好你们的包厢和蛋糕。对了，如果你们有任何特殊需求，比如需要额外的餐具或者儿童座椅，可以提前告诉我。
right: 嗯，我们要一个儿童座椅，其他的应该暂时没有特别需要的。
left: 好的，儿童座椅我会安排好。另外，我们这里还有一些小朋友喜欢的游戏项目，如果你们感兴趣的话，我可以帮你们预定。
right: 那太好了，孩子们肯定会喜欢的，就预定一些吧。
left: 没问题，我会给你们准备好。还有，你们来的时候可以直接到二楼的儿童活动区，我们会有人在那里接待你们。
right: 好的，谢谢你的安排，明天见。
left: 不客气，祝你们有一个愉快的派对。明天见！",0,"left: 喂，你好，我是美食广场的服务人员，你之前在我们餐厅预定了一个生日派对的位置，想确认一下你明天还会来吗？
right: 哦，你好，是的，我们还是会按计划来。
left: 太好了，那我确认一下，你们预定的是下午三点，对吗？
right: 对的，就是下午三点。
left: 好的，那我们这边会提前准备好你们的包厢和蛋糕。对了，如果你们有任何特殊需求，比如需要额外的餐具或者儿童座椅，可以提前告诉我。
right: 嗯，我们要一个儿童座椅，其他的应该暂时没有特别需要的。
left: 好的，儿童座椅我会安排好。另外，我们这里还有一些小朋友喜欢的游戏项目，如果你们感兴趣的话，我可以帮你们预留。
right: 那太好了，孩子们肯定会喜欢的，就预留一些吧。
left: 没问题，我会给你们准备好。还有，你们来的时候可以直接到二楼的儿童活动区，我们会有人在那里接待你们。
right: 好的，谢谢你的安排，明天见。
left: 不客气，祝你们有一个愉快的派对。明天见！",0.0017674562986940145,0
7,"left: 喂，你好，这边是美味餐厅，你的外卖已经准备好了，可以来取餐了。
right: 好的，我马上过来。
left: 我们餐厅在幸福路二十三号，靠近公交站，你到了给我打电话。
right: 好的，我知道位置，谢谢。
left: 不客气，你到了直接上二楼，我们餐厅在左边。
right: 好的，我这就出发。
left: 路上注意安全，到了再联系我。
right: 好的，谢谢。",0,"left: 喂，你好，这边是美味餐厅，你的外卖已经准备好了，可以来取餐了。  
right: 好的，我马上过来。  
left: 我们餐厅在幸福路二十三号，靠近公交站，你到了给我来电。  
right: 好的，我知道位置，谢谢。  
left: 不客气，你到了直接上二楼，我们餐厅在左边。  
right: 好的，我这就出发。  
left: 路上注意安全，到了再联系我。  
right: 好的，谢谢。",0.0017707286169752479,0
8,"left: 喂，你好
right: 你好，我想了解一下你们这的外卖服务
left: 好的，你是在哪个区域呢？
right: 我在东城区的阳光小区
left: 我们这边可以配送到阳光小区，你想要点什么餐呢？
right: 我想看看你们有什么推荐的，还有价格怎么样？
left: 我们这有几款招牌菜，比如麻辣香锅，价格是三十五元，还有酸菜鱼，是四十五元
right: 听起来不错，那酸菜鱼可以加量吗？
left: 可以的，加量的话需要加十五元
right: 好的，那就来一份加量的酸菜鱼吧，还要送一罐可乐
left: 好的，一份加量酸菜鱼和一罐可乐，总价格是六十元，预计三十分钟后送达，你确认一下订单信息
right: 好的，我确认一下，地址是东城区阳光小区三号楼二单元四零一，电话是一三八零零零零零零零
left: 好的，你的订单已经确认，三十分钟后送到指定地址，如果有任何问题可以随时联系我们，祝你用餐愉快",0,"left: 喂，你好  
right: 你好，我想了解一下你们这的外卖服务  
left: 好的，你是在哪个区域呢？  
right: 我在东城区的阳光小区  
left: 我们这边可以配送到阳光小区，你想要点什么餐呢？  
right: 我想看看你们有什么推荐的，还有价格怎么样？  
left: 我们这有几款招牌菜，比如麻辣香锅，价格是三十五元，还有酸菜鱼，是四十五元  
right: 听起来不错，那酸菜鱼可以加量吗？  
left: 可以的，加量的话需要加十五元  
right: 好的，那就来一份加量的酸菜鱼吧，还要送一罐可乐  
left: 好的，一份加量酸菜鱼和一罐可乐，总价格是六十元，预计三十分钟后送达，你确认一下订单信息  
right: 好的，我确认一下，地址是东城区阳光小区三号楼二单元四零一，电话是一三八零零零零零零零  
left: 好的，你的订单已经确认，三十分钟后送到指定地址，如果有任何问题可以随时联系**我们团队**，祝你用餐愉快",0.0017585291061550379,0
9,"left: 您好，我是工商银行的客服人员，您的账户刚刚有一笔异常交易，请您提供一下您的身份证号码和银行卡号，方便我们核实情况。
right: 您好，我是张伟。我的账户有异常交易？这可怎么办？不过，我得先确认一下，您能告诉我这笔交易的具体金额和时间吗？这样我好回忆一下是不是我自己操作的。
left: 张伟先生，这笔交易的金额是一千二百元，时间是今天下午三点四十五分。请您尽快提供信息，我们才能确保您的账户安全。
right: 一千二百元？我今天下午三点确实在网上购物了，但记得是用支付宝支付的，不是直接从银行卡扣款的。您真的是工商银行的客服吗？我怎么确定您不是骗子呢？我记得银行客服不会直接要客户的身份证和银行卡号。
left: 张伟先生，您的担忧我可以理解。为了您的账户安全，您可以直接通过我们的官方客服电话回拨确认，电话号码是一零零八六。但请您尽快，因为这笔交易确实存在风险，我们希望能在最短的时间内帮您解决问题。",1,"left: 您好，我是工商银行的服务专员，您的账户刚刚有一笔可疑交易，请您提供一下您的身份证号码和银行卡号，方便我们核实情况。  
right: 您好，我是张伟。我的账户有可疑交易？这可怎么办？不过，我得先确认一下，您能告诉我这笔交易的具体金额和时间吗？这样我好回忆一下是不是我自己操作的。  
left: 张伟先生，这笔交易的金额是一千二百元，时间是今天下午三点四十五分。请您尽快提供信息，我们才能保障您的账户安全。  
right: 一千二百元？我今天下午三点确实在网上购物了，但记得是用支付宝支付的，不是直接从银行卡扣款的。您真的是工商银行的服务专员吗？我怎么确定您不是骗子呢？我记得银行服务人员不会直接索要客户的身份证和银行卡号。  
left: 张伟先生，您的担忧我可以理解。为了您的账户安全，您可以直接通过我们的官方服务热线回拨确认，电话号码是一零零八六。但请您尽快，因为这笔交易确实存在风险，我们希望能在最短的时间内帮您处理问题。",0.9985870122909546,1
